Product;;
Product;;
Product;Yield;Error
Ba149;0.0021027;6.3194E-4
Ba150;6.0704E-4;2.2514E-4
Ba151;7.1064E-5;2.6734E-5
Ba152;1.0253E-5;3.9507E-6
Ba153;4.2238E-10;1.5078E-10
La139;0.057774;0.0027234
La140;0.060457;7.8052E-4
La141;0.057937;0.0033618
La142;0.048384;0.0020623
La143;0.046716;9.8131E-4
La144;0.046904;0.0010569
La145;0.038466;0.0017738
La146;0.032915;0.0015269
La146m;0.0024806;7.452E-4
La147;0.025214;4.5187E-4
La148;0.018;6.5279E-4
La149;0.010195;7.9388E-4
La150;0.0036458;7.6006E-4
La151;0.0015924;4.145E-4
La152;3.2526E-4;1.1208E-4
La153;6.1628E-5;2.1402E-5
