Product;;
Product;;
Product;Yield;Error
In128;5.0518E-4;7.5525E-5
In128m;2.0836E-4;3.767E-5
In128n;3.762E-4;8.8223E-5
In129;8.329E-4;1.9731E-4
In129m;1.9649E-4;4.9614E-5
In130;1.594E-4;4.8243E-5
In130m;1.6604E-4;5.3579E-5
In130n;2.825E-4;9.0605E-5
In131;6.8436E-5;2.2727E-5
In131m;6.7727E-5;2.2726E-5
In131n;6.7727E-5;2.2726E-5
In132;1.0603E-5;3.6307E-6
In133;5.7453E-7;1.7087E-7
In133m;1.079E-7;3.8473E-8
In134;6.9594E-9;2.6605E-9
Sn115;5.3736E-6;6.1175E-7
Sn116;3.8945E-10;9.2415E-11
Sn117;1.2801E-4;1.6883E-5
Sn117m;2.7238E-7;4.0066E-8
Sn118;1.4882E-4;3.6311E-5
Sn119;1.5777E-4;2.2852E-5
Sn119m;5.1966E-5;8.7979E-6
Sn120;1.5305E-4;2.4335E-5
Sn121;1.247E-4;5.7389E-6
Sn121m;1.0237E-5;1.0689E-6
Sn122;1.8403E-4;1.5272E-5
Sn123;1.2399E-5;1.8975E-6
Sn123m;1.2547E-4;7.0203E-6
Sn124;2.4944E-4;1.5712E-5
Sn125;6.8828E-5;9.5584E-6
Sn125m;2.3068E-4;1.1404E-5
Sn126;5.7694E-4;1.8478E-5
Sn127;5.437E-4;5.725E-5
Sn127m;6.6676E-4;4.6953E-5
Sn128;0.0031421;8.9015E-5
Sn128m;0.0019605;9.9211E-5
Sn129;0.002626;1.8907E-4
Sn129m;0.004157;2.2301E-4
Sn130;0.0040422;4.607E-4
Sn130m;0.0087521;7.9522E-4
Sn131;0.0034621;5.8363E-4
Sn131m;0.0081118;0.001155
Sn132;0.0073783;0.0015559
Sn133;9.5871E-4;3.2615E-4
Sn134;1.0888E-4;4.1411E-5
Sn135;9.9098E-6;3.6346E-6
Sn136;8.9273E-7;3.1356E-7
Sb121;1.2699E-4;5.8415E-6
Sb123;1.3787E-4;7.5828E-6
Sb124;6.3171E-11;1.3946E-11
Sb124m;4.8372E-11;1.2742E-11
Sb124n;2.781E-11;1.0101E-11
Sb125;3.0295E-4;1.2724E-5
Sb126;3.7205E-6;1.0129E-6
Sb126m;5.1243E-6;1.2152E-6
Sb126n;2.9039E-6;9.6468E-7
Sb127;0.0012392;5.4524E-5
Sb128;0.0032167;9.0462E-5
Sb128m;1.2002E-4;3.7544E-5
Sb129;0.0058772;1.876E-4
Sb129m;0.0025604;1.8636E-4
Sb130;0.010951;7.6339E-4
Sb130m;0.006909;7.2518E-4
Sb131;0.024871;5.7147E-4
Sb132;0.019169;0.0016126
Sb132m;0.0086897;0.0012868
Sb133;0.025119;0.0030698
Sb134;0.0020108;6.445E-4
Sb134m;0.0044967;0.0014579
Sb135;0.0014127;4.9125E-4
Sb136;2.1525E-4;7.4811E-5
Sb137;2.2588E-5;8.0377E-6
Sb138;3.9392E-7;1.4705E-7
Sb139;1.2132E-8;4.3959E-9
Te124;7.5264E-11;1.4516E-11
Te125;3.0295E-4;1.2724E-5
Te125m;6.7791E-5;5.6132E-6
Te126;8.1274E-6;1.4578E-6
Te127;0.0012361;5.4391E-5
Te127m;2.0553E-4;1.9066E-5
Te128;0.0033378;9.346E-5
Te129;0.0069681;1.8246E-4
Te129m;0.00316;1.5819E-4
Te130;0.018663;0.001045
Te131;0.0252;5.262E-4
Te131m;0.0050387;8.4492E-4
Te132;0.0429;4.7304E-4
Te133;0.037949;0.0019884
Te133m;0.032195;0.0019878
Te134;0.069727;0.0010756
Te135;0.036003;0.0025943
Te136;0.016843;0.0031017
Te137;0.0048555;0.0014738
Te138;0.0011284;4.0772E-4
Te139;1.6978E-4;6.1219E-5
Te140;2.4771E-5;8.7075E-6
Te141;6.0694E-8;2.1093E-8
Te142;2.3177E-9;8.2631E-10
I127;0.001241;5.4605E-5
I129;0.0081374;2.0342E-4
I130;2.0536E-6;5.9847E-7
I130m;6.4534E-7;2.388E-7
I131;0.02921;4.0894E-4
I132;0.043167;4.7485E-4
I132m;1.205E-4;4.1136E-5
I133;0.066491;0.0011968
I133m;7.5174E-4;2.6203E-4
I134;0.077325;0.0010826
I134m;0.0032557;0.0011141
I135;0.060638;0.0017884
I136;0.026006;0.0027028
I136m;0.021364;0.0025667
I137;0.031807;0.0027282
I138;0.013476;0.0030859
I139;0.0075544;0.0021407
I140;0.0019561;6.4603E-4
I141;4.6849E-4;1.607E-4
I142;4.6775E-5;1.6656E-5
I143;4.3187E-6;1.6026E-6
I144;7.4082E-9;2.7326E-9
Xe130;2.1569E-6;6.0079E-7
Xe131;0.02921;4.0894E-4
Xe131m;3.1728E-4;3.2061E-5
Xe132;0.043188;4.7507E-4
Xe132m;1.8748E-6;6.4323E-7
Xe133;0.066534;0.0011972
Xe133m;0.0019226;1.517E-4
