Product;;
Product;;
Product;Yield;Error
Sb125;0.0011046;1.8999E-4
Sb126;3.4395E-5;9.7616E-6
Sb126m;4.7373E-5;1.1666E-5
Sb126n;2.6846E-5;9.3256E-6
Sb127;0.0053761;1.0752E-4
Sb128;0.008401;4.0787E-4
Sb128m;8.8951E-4;2.786E-4
Sb129;0.011267;4.233E-4
Sb129m;0.0056702;5.2944E-4
Sb130;0.012822;8.1573E-4
Sb130m;0.010172;8.6501E-4
Sb131;0.026117;0.0011253
Sb132;0.011206;0.0019507
Sb132m;0.0070527;0.0015358
Sb133;0.012284;0.003191
Sb134;7.2797E-4;2.6362E-4
Sb134m;0.0016814;6.0858E-4
Sb135;5.475E-4;2.0215E-4
Sb136;5.6452E-5;2.0718E-5
